2026-04-20 04:40:55.048; System; Armoury Crate; 20548; 2] ----------------------------------------------------------------------------------------------------
2026-04-20 04:40:55.048; System; Armoury Crate; 20548; 2] [4/20/2026 4:40:55 AM]
2026-04-20 04:40:55.048; System; Armoury Crate; 20548; 2] Armoury Crate Version : 6.4.12.0
2026-04-20 04:40:55.048; System; Armoury Crate; 20548; 2] OS Version Build : 26200
2026-04-20 04:40:55.048; System; Armoury Crate; 20548; 2] ----------------------------------------------------------------------------------------------------
2026-04-20 04:40:55.737; Error; UwpDebugOptions; 20548; 1] (701)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-20 04:40:55.737; Info; UwpAppConfiguration; 20548; 1] (702)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-20 04:40:55.757; Info; DeviceInformationService; 20548; 1] (717)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-20 04:40:55.759; Info; CoreServiceManager; 20548; 1] (723)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 12 ms
2026-04-20 04:40:55.799; Info; ConnectionHandler(Service); 20548; 5] (761)Final version: 1.1
2026-04-20 04:40:55.839; Info; ConnectionHandler(Service); 20548; 5] (813)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-20 04:40:55.839; Info; ConnectionHandler(Service); 20548; 5] (814)connected for peer: Service
2026-04-20 04:40:55.862; Info; AsusDeviceManager; 20548; 7] (821)MessageType:Device,DeviceType:Notebook,DeviceName:G713QE,DeviceId:, Attributes: (CheckBoxEnable:1)  (DependentAppStatus:0)  (DeviceCount:1)  (DeviceGUID:3F49AD29-52D9-46A5-A608-203D54E7D12A)  (DeviceIndex:0)  (DisplayName:G713QE)  (FirstPluginNeedUpdate:0)  (InfoIconEnable:0)  (LightingMode:SUPPORTAURA)  (LinkToDeviceEnable:0)  (LocalFrameworkVersion:4.2.4.8)  (LocalHtmlVersion:0)  (LocalMainSDKVersion:2.01.52)  (LocalSDKVersion:0)  (NeedRestart:false)  (PIDMode:0)  (PartNumber_90:90NR05F2-M01710)  (ProductLine:ROG_Laptop)  (ServerFrameworkVersion:4.2.4.13)  (ServerHtmlVersion:0)  (ServerMainSDKVersion:2.01.56)  (ServerSDKVersion:0)  (SupportCreator:true) 
2026-04-20 04:41:05.871; Warning; ConnectionHandler(UserSession); 20548; 8] (10832)failed on SendVersion
2026-04-20 04:41:05.871; Warning; ConnectionHandler(UserSession); 20548; 8] (10832)failed to handshake for connection
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10833)Start ArmouryCrate.Console.Uwp.Core.Services.CoreStreamService spend 10111 ms
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10833)Start ArmouryCrate.Console.Uwp.Core.Services.SettingsService spend 0 ms
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10833)Start ArmouryCrate.Console.Uwp.Core.Services.VisualService spend 0 ms
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10833)Start ArmouryCrate.Console.Uwp.Core.Services.ROGIDService spend 0 ms
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10834)Start ArmouryCrate.Console.Uwp.Core.Services.DataCollectionService spend 1 ms
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10834)Start ArmouryCrate.Console.Uwp.Core.Services.PromotionService spend 0 ms
2026-04-20 04:41:05.871; Info; CoreServiceManager; 20548; 1] (10835)Start ArmouryCrate.Console.Uwp.Core.Services.PrivacyPolicyService spend 1 ms
2026-04-20 04:41:05.876; Info; BackgroundTaskService; 20548; 1] (10838)Skipping StartAsync because it's running in a background context.
2026-04-20 04:41:05.876; Info; CoreServiceManager; 20548; 1] (10838)Start ArmouryCrate.Console.Uwp.Core.Services.BackgroundTaskService spend 3 ms
2026-04-20 04:41:05.876; Info; CoreServiceManager; 20548; 1] (10842)Get theme from previous recrod => ROG
2026-04-20 04:41:05.876; Info; CoreServiceManager; 20548; 1] (10842)GetTheme... ROG
2026-04-20 04:41:05.876; Info; App; 20548; 1] (10842)DeveloperMode:NotSet
2026-04-20 04:41:05.886; Info; App; 20548; 1] (10848)IsAdmin:True
2026-04-20 04:41:15.862; Info; ConnectionHandler(Service); 20548; 3] (20822)send keep alive packet, SN: 0
2026-04-20 09:26:00.605; System; Armoury Crate; 37628; 2] ----------------------------------------------------------------------------------------------------
2026-04-20 09:26:00.605; System; Armoury Crate; 37628; 2] [4/20/2026 9:26:00 AM]
2026-04-20 09:26:00.605; System; Armoury Crate; 37628; 2] Armoury Crate Version : 6.4.12.0
2026-04-20 09:26:00.605; System; Armoury Crate; 37628; 2] OS Version Build : 26200
2026-04-20 09:26:00.605; System; Armoury Crate; 37628; 2] ----------------------------------------------------------------------------------------------------
2026-04-20 09:26:01.206; Error; UwpDebugOptions; 37628; 1] (599)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-20 09:26:01.209; Info; UwpAppConfiguration; 37628; 1] (602)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
