2026-04-19 03:53:57.552; System; Armoury Crate; 28500; 2] ----------------------------------------------------------------------------------------------------
2026-04-19 03:53:57.552; System; Armoury Crate; 28500; 2] [4/19/2026 3:53:57 AM]
2026-04-19 03:53:57.552; System; Armoury Crate; 28500; 2] Armoury Crate Version : 6.4.12.0
2026-04-19 03:53:57.552; System; Armoury Crate; 28500; 2] OS Version Build : 26200
2026-04-19 03:53:57.552; System; Armoury Crate; 28500; 2] ----------------------------------------------------------------------------------------------------
2026-04-19 03:53:58.303; Error; UwpDebugOptions; 28500; 1] (760)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-19 03:53:58.312; Info; UwpAppConfiguration; 28500; 1] (768)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-19 03:53:58.315; Info; DeviceInformationService; 28500; 1] (771)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-19 03:53:58.315; Info; CoreServiceManager; 28500; 1] (772)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 1 ms
2026-04-19 03:53:58.388; Info; ConnectionHandler(Service); 28500; 6] (844)Final version: 1.1
2026-04-19 03:54:02.410; Info; ConnectionHandler(Service); 28500; 6] (4869)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-19 03:54:02.410; Info; ConnectionHandler(Service); 28500; 6] (4869)connected for peer: Service
2026-04-19 03:54:02.415; Info; ConnectionHandler(UserSession); 28500; 3] (4873)Final version: 1.1
2026-04-19 03:54:02.415; Info; AsusDeviceManager; 28500; 2] (4874)MessageType:Device,DeviceType:Notebook,DeviceName:G713QE,DeviceId:, Attributes: (CheckBoxEnable:1)  (DependentAppStatus:0)  (DeviceCount:1)  (DeviceGUID:3F49AD29-52D9-46A5-A608-203D54E7D12A)  (DeviceIndex:0)  (DisplayName:G713QE)  (FirstPluginNeedUpdate:0)  (InfoIconEnable:0)  (LightingMode:SUPPORTAURA)  (LinkToDeviceEnable:0)  (LocalFrameworkVersion:4.2.4.8)  (LocalHtmlVersion:0)  (LocalMainSDKVersion:2.01.52)  (LocalSDKVersion:0)  (NeedRestart:false)  (PIDMode:0)  (PartNumber_90:90NR05F2-M01710)  (ProductLine:ROG_Laptop)  (ServerFrameworkVersion:4.2.4.13)  (ServerHtmlVersion:0)  (ServerMainSDKVersion:2.01.56)  (ServerSDKVersion:0)  (SupportCreator:true) 
2026-04-19 03:54:02.466; Info; ConnectionHandler(UserSession); 28500; 3] (4923)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.CoreStreamService spend 4150 ms
2026-04-19 03:54:02.466; Info; ConnectionHandler(UserSession); 28500; 3] (4923)connected for peer: UserSession
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.SettingsService spend 0 ms
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.VisualService spend 0 ms
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.ROGIDService spend 0 ms
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.DataCollectionService spend 0 ms
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.PromotionService spend 0 ms
2026-04-19 03:54:02.466; Info; CoreServiceManager; 28500; 1] (4923)Start ArmouryCrate.Console.Uwp.Core.Services.PrivacyPolicyService spend 0 ms
2026-04-19 03:54:02.499; Info; BackgroundTaskService; 28500; 1] (4959)Skipping StartAsync because it's running in a background context.
2026-04-19 03:54:02.499; Info; CoreServiceManager; 28500; 1] (4959)Start ArmouryCrate.Console.Uwp.Core.Services.BackgroundTaskService spend 36 ms
2026-04-19 03:54:02.499; Info; CoreServiceManager; 28500; 1] (4959)Get theme from previous recrod => ROG
2026-04-19 03:54:02.499; Info; CoreServiceManager; 28500; 1] (4959)GetTheme... ROG
2026-04-19 03:54:02.499; Info; App; 28500; 1] (4959)DeveloperMode:NotSet
