2026-04-24 03:47:02.833; System; Armoury Crate; 28500; 2] ----------------------------------------------------------------------------------------------------
2026-04-24 03:47:02.833; System; Armoury Crate; 28500; 2] [4/24/2026 3:47:02 AM]
2026-04-24 03:47:02.833; System; Armoury Crate; 28500; 2] Armoury Crate Version : 6.4.12.0
2026-04-24 03:47:02.833; System; Armoury Crate; 28500; 2] OS Version Build : 26200
2026-04-24 03:47:02.833; System; Armoury Crate; 28500; 2] ----------------------------------------------------------------------------------------------------
2026-04-24 03:47:03.213; Error; UwpDebugOptions; 28500; 1] (381)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-24 03:47:03.213; Info; UwpAppConfiguration; 28500; 1] (382)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-24 03:47:03.214; Info; DeviceInformationService; 28500; 1] (383)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-24 03:47:03.214; Info; CoreServiceManager; 28500; 1] (383)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 1 ms
2026-04-24 03:47:03.233; Info; ConnectionHandler(Service); 28500; 5] (404)Final version: 1.1
2026-04-24 03:47:05.212; Info; ConnectionHandler(Service); 28500; 5] (2381)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-24 03:47:05.212; Info; ConnectionHandler(Service); 28500; 5] (2381)connected for peer: Service
