2026-04-18 03:46:28.664; System; Armoury Crate; 22508; 2] ----------------------------------------------------------------------------------------------------
2026-04-18 03:46:28.664; System; Armoury Crate; 22508; 2] [4/18/2026 3:46:28 AM]
2026-04-18 03:46:28.664; System; Armoury Crate; 22508; 2] Armoury Crate Version : 6.4.12.0
2026-04-18 03:46:28.664; System; Armoury Crate; 22508; 2] OS Version Build : 26200
2026-04-18 03:46:28.664; System; Armoury Crate; 22508; 2] ----------------------------------------------------------------------------------------------------
2026-04-18 03:46:29.687; Error; UwpDebugOptions; 22508; 1] (1028)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-18 03:46:29.687; Info; UwpAppConfiguration; 22508; 1] (1030)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-18 03:46:29.953; Info; DeviceInformationService; 22508; 1] (1294)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-18 03:46:29.961; Info; CoreServiceManager; 22508; 1] (1302)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 56 ms
2026-04-18 03:46:30.190; Info; ConnectionHandler(Service); 22508; 3] (1531)Final version: 1.1
2026-04-18 03:46:30.271; Info; ConnectionHandler(Service); 22508; 3] (1612)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-18 03:46:30.271; Info; ConnectionHandler(Service); 22508; 3] (1613)connected for peer: Service
2026-04-18 03:46:30.285; Info; AsusDeviceManager; 22508; 6] (1627)MessageType:Device,DeviceType:Notebook,DeviceName:G713QE,DeviceId:, Attributes: (CheckBoxEnable:1)  (DependentAppStatus:0)  (DeviceCount:1)  (DeviceGUID:3F49AD29-52D9-46A5-A608-203D54E7D12A)  (DeviceIndex:0)  (DisplayName:G713QE)  (FirstPluginNeedUpdate:0)  (InfoIconEnable:0)  (LightingMode:SUPPORTAURA)  (LinkToDeviceEnable:0)  (LocalFrameworkVersion:4.2.4.8)  (LocalHtmlVersion:0)  (LocalMainSDKVersion:2.01.52)  (LocalSDKVersion:0)  (NeedRestart:false)  (PIDMode:0)  (PartNumber_90:90NR05F2-M01710)  (ProductLine:ROG_Laptop)  (ServerFrameworkVersion:4.2.4.13)  (ServerHtmlVersion:0)  (ServerMainSDKVersion:2.01.56)  (ServerSDKVersion:0)  (SupportCreator:true) 
2026-04-18 03:46:40.280; Warning; ConnectionHandler(UserSession); 22508; 7] (11626)failed on SendVersion
2026-04-18 03:46:40.280; Warning; ConnectionHandler(UserSession); 22508; 7] (11626)failed to handshake for connection
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11629)Start ArmouryCrate.Console.Uwp.Core.Services.CoreStreamService spend 10327 ms
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11629)Start ArmouryCrate.Console.Uwp.Core.Services.SettingsService spend 0 ms
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11629)Start ArmouryCrate.Console.Uwp.Core.Services.VisualService spend 0 ms
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11629)Start ArmouryCrate.Console.Uwp.Core.Services.ROGIDService spend 0 ms
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11629)Start ArmouryCrate.Console.Uwp.Core.Services.DataCollectionService spend 1 ms
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11629)Start ArmouryCrate.Console.Uwp.Core.Services.PromotionService spend 0 ms
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11630)Start ArmouryCrate.Console.Uwp.Core.Services.PrivacyPolicyService spend 1 ms
2026-04-18 03:46:40.280; Info; BackgroundTaskService; 22508; 1] (11635)Skipping StartAsync because it's running in a background context.
2026-04-18 03:46:40.280; Info; CoreServiceManager; 22508; 1] (11635)Start ArmouryCrate.Console.Uwp.Core.Services.BackgroundTaskService spend 4 ms
2026-04-18 03:46:40.295; Info; CoreServiceManager; 22508; 1] (11636)Get theme from previous recrod => ROG
2026-04-18 03:46:40.295; Info; CoreServiceManager; 22508; 1] (11636)GetTheme... ROG
2026-04-18 03:46:40.295; Info; App; 22508; 1] (11636)DeveloperMode:NotSet
2026-04-18 03:46:40.295; Info; App; 22508; 1] (11643)IsAdmin:True
2026-04-18 03:46:40.375; Info; Redemption; 22508; 1] (11719)[AppService.DoPromotion(30)] Begin
2026-04-18 03:46:40.375; Info; Redemption; 22508; 1] (11721)[AppService.InitPromotion(215)] ProductLine Value=NB, Status=True
2026-04-18 03:46:40.375; Info; Redemption; 22508; 1] (11721)[AppService.InitPromotion(227)] Subbrand Value=ROG, Status=True
2026-04-18 03:46:40.375; Info; Redemption; 22508; 1] (11721)[AppService.InitPromotion(242)] SystemManufacturer=ASUSTeK COMPUTER INC., Status=False
2026-04-18 03:46:40.375; Info; Redemption; 22508; 1] (11722)[AppService.InitPromotion(259)] isAcceptablePL=True, isAcceptableSB=True, isAcceptableGamingDT=False, PrivacyPolicy=True, isGamingProduct=True, DeveloperModeEnabled=False
2026-04-18 03:46:40.375; Info; Redemption; 22508; 1] (11722)[AppService.InitPromotion(278)] RedeemEntry: PN=Routine, SN=M5NRKD028966197, API=AdobeEvent, Source=Background
2026-04-18 03:46:50.290; Info; ConnectionHandler(Service); 22508; 2] (21635)send keep alive packet, SN: 0
2026-04-18 03:46:50.375; Warning; ConnectionHandler(UserSession); 22508; 8] (21717)failed on SendVersion
2026-04-18 03:46:50.375; Warning; ConnectionHandler(UserSession); 22508; 8] (21717)failed to handshake for connection
2026-04-18 03:46:50.375; Warning; CoreStreamService; 22508; 6] (21717)connection peer UserSession is not connected
2026-04-18 03:46:50.386; Error; Redemption; 22508; 6] (21731)[DeviceQueryHandler.GetDeviceSN_List(56)] Service Connection Failed: E_AC_STREAM_UNREACHABLE
2026-04-18 03:46:50.391; Error; Redemption; 22508; 6] (21732)[AppService.InitPromotion(283)] Device List can't be access. End Process.
2026-04-18 03:47:10.290; Info; ConnectionHandler(Service); 22508; 2] (41632)send keep alive packet, SN: 1
2026-04-18 03:47:14.362; System; Armoury Crate; 22508; 9] Delete ArmouryCrate_20260405.BackgroundTask.log
2026-04-18 03:47:14.409; System; Armoury Crate; 22508; 6] Delete ArmouryCrate_20260406.BackgroundTask.log
2026-04-18 03:47:14.425; System; Armoury Crate; 22508; 6] Delete ArmouryCrate_20260407.BackgroundTask.log
2026-04-18 03:58:25.887; Info; ConnectionHandler(Service); 22508; 3] (717229)disconnected for peer: Service
2026-04-18 13:26:20.094; Info; GameLibraryPlugin; 22508; 12] (34791435)[AppService..ctor(19)] Begin
2026-04-18 13:26:20.095; Info; GameLibraryPlugin; 22508; 12] (34791436)[AppService..ctor(27)] End
2026-04-18 13:26:38.241; Info; Redemption; 22508; 12] (34809582)[AppService.DoPromotion(30)] Begin
2026-04-18 13:26:38.243; Info; Redemption; 22508; 12] (34809584)[AppService.InitPromotion(215)] ProductLine Value=NB, Status=True
2026-04-18 13:26:38.244; Info; Redemption; 22508; 12] (34809584)[AppService.InitPromotion(227)] Subbrand Value=ROG, Status=True
2026-04-18 13:26:38.244; Info; Redemption; 22508; 12] (34809584)[AppService.InitPromotion(242)] SystemManufacturer=ASUSTeK COMPUTER INC., Status=False
2026-04-18 13:26:38.245; Info; Redemption; 22508; 12] (34809586)[AppService.InitPromotion(259)] isAcceptablePL=True, isAcceptableSB=True, isAcceptableGamingDT=False, PrivacyPolicy=True, isGamingProduct=True, DeveloperModeEnabled=False
2026-04-18 13:26:38.245; Info; Redemption; 22508; 12] (34809586)[AppService.InitPromotion(278)] RedeemEntry: PN=Routine, SN=M5NRKD028966197, API=AdobeEvent, Source=Background
2026-04-18 13:26:38.273; Info; ConnectionHandler(UserSession); 22508; 1] (34809614)Final version: 1.1
