2026-04-25 03:03:58.661; System; Armoury Crate; 38000; 3] ----------------------------------------------------------------------------------------------------
2026-04-25 03:03:58.661; System; Armoury Crate; 38000; 3] [4/25/2026 3:03:58 AM]
2026-04-25 03:03:58.661; System; Armoury Crate; 38000; 3] Armoury Crate Version : 6.4.12.0
2026-04-25 03:03:58.661; System; Armoury Crate; 38000; 3] OS Version Build : 26200
2026-04-25 03:03:58.661; System; Armoury Crate; 38000; 3] ----------------------------------------------------------------------------------------------------
2026-04-25 03:03:59.453; Error; UwpDebugOptions; 38000; 1] (804)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-25 03:03:59.453; Info; UwpAppConfiguration; 38000; 1] (806)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-25 03:03:59.498; Info; DeviceInformationService; 38000; 1] (851)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-25 03:03:59.498; Info; CoreServiceManager; 38000; 1] (856)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 24 ms
2026-04-25 03:03:59.567; Info; ConnectionHandler(Service); 38000; 6] (917)Final version: 1.1
2026-04-25 03:03:59.671; Info; ConnectionHandler(Service); 38000; 6] (1026)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
