2026-04-17 09:48:36.871; System; Armoury Crate; 17716; 2] ----------------------------------------------------------------------------------------------------
2026-04-17 09:48:36.871; System; Armoury Crate; 17716; 2] [4/17/2026 9:48:36 AM]
2026-04-17 09:48:36.871; System; Armoury Crate; 17716; 2] Armoury Crate Version : 6.4.12.0
2026-04-17 09:48:36.871; System; Armoury Crate; 17716; 2] OS Version Build : 26200
2026-04-17 09:48:36.871; System; Armoury Crate; 17716; 2] ----------------------------------------------------------------------------------------------------
2026-04-17 09:48:37.723; Error; UwpDebugOptions; 17716; 1] (852)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-17 09:48:37.723; Info; UwpAppConfiguration; 17716; 1] (852)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-17 09:48:37.748; Info; DeviceInformationService; 17716; 1] (878)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-17 09:48:37.787; Info; CoreServiceManager; 17716; 1] (916)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 59 ms
2026-04-17 09:48:37.807; Info; ConnectionHandler(Service); 17716; 5] (944)Final version: 1.1
2026-04-17 09:48:37.868; Info; ConnectionHandler(Service); 17716; 5] (998)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-17 09:48:37.868; Info; ConnectionHandler(Service); 17716; 5] (998)connected for peer: Service
2026-04-17 09:48:37.868; Info; ConnectionHandler(UserSession); 17716; 8] (1003)Final version: 1.1
2026-04-17 09:48:38.174; Info; AsusDeviceManager; 17716; 6] (1302)MessageType:Device,DeviceType:Notebook,DeviceName:G713QE,DeviceId:, Attributes: (CheckBoxEnable:1)  (DependentAppStatus:0)  (DeviceCount:1)  (DeviceGUID:3F49AD29-52D9-46A5-A608-203D54E7D12A)  (DeviceIndex:0)  (DisplayName:G713QE)  (FirstPluginNeedUpdate:0)  (InfoIconEnable:0)  (LightingMode:SUPPORTAURA)  (LinkToDeviceEnable:0)  (LocalFrameworkVersion:4.2.4.8)  (LocalHtmlVersion:0)  (LocalMainSDKVersion:2.01.52)  (LocalSDKVersion:0)  (NeedRestart:false)  (PIDMode:0)  (PartNumber_90:90NR05F2-M01710)  (ProductLine:ROG_Laptop)  (ServerFrameworkVersion:4.2.4.13)  (ServerHtmlVersion:0)  (ServerMainSDKVersion:2.01.56)  (ServerSDKVersion:0)  (SupportCreator:true) 
2026-04-17 09:48:38.177; Info; ConnectionHandler(UserSession); 17716; 8] (1310)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-17 09:48:38.177; Info; CoreServiceManager; 17716; 1] (1310)Start ArmouryCrate.Console.Uwp.Core.Services.CoreStreamService spend 393 ms
2026-04-17 09:48:38.177; Info; ConnectionHandler(UserSession); 17716; 8] (1310)connected for peer: UserSession
2026-04-17 09:48:38.194; Info; CoreServiceManager; 17716; 1] (1322)Start ArmouryCrate.Console.Uwp.Core.Services.SettingsService spend 12 ms
2026-04-17 09:48:38.194; Info; CoreServiceManager; 17716; 1] (1322)Start ArmouryCrate.Console.Uwp.Core.Services.VisualService spend 0 ms
2026-04-17 09:48:38.194; Info; CoreServiceManager; 17716; 1] (1322)Start ArmouryCrate.Console.Uwp.Core.Services.ROGIDService spend 0 ms
2026-04-17 09:48:38.194; Info; CoreServiceManager; 17716; 1] (1322)Start ArmouryCrate.Console.Uwp.Core.Services.DataCollectionService spend 1 ms
2026-04-17 09:48:38.194; Info; CoreServiceManager; 17716; 1] (1322)Start ArmouryCrate.Console.Uwp.Core.Services.PromotionService spend 0 ms
2026-04-17 09:48:38.194; Info; CoreServiceManager; 17716; 1] (1323)Start ArmouryCrate.Console.Uwp.Core.Services.PrivacyPolicyService spend 1 ms
2026-04-17 09:48:38.254; Info; BackgroundTaskService; 17716; 1] (1384)Skipping StartAsync because it's running in a background context.
2026-04-17 09:48:38.254; Info; CoreServiceManager; 17716; 1] (1384)Start ArmouryCrate.Console.Uwp.Core.Services.BackgroundTaskService spend 61 ms
2026-04-17 09:48:38.254; Info; CoreServiceManager; 17716; 1] (1384)Get theme from previous recrod => ROG
2026-04-17 09:48:38.254; Info; CoreServiceManager; 17716; 1] (1384)GetTheme... ROG
2026-04-17 09:48:38.254; Info; App; 17716; 1] (1384)DeveloperMode:NotSet
2026-04-17 09:48:38.277; Info; App; 17716; 1] (1407)IsAdmin:True
2026-04-17 09:48:50.563; Info; GameLibraryPlugin; 17716; 11] (13692)[AppService..ctor(19)] Begin
2026-04-17 09:48:50.563; Info; GameLibraryPlugin; 17716; 11] (13692)[AppService..ctor(27)] End
2026-04-17 09:49:00.164; Info; ConnectionHandler(UserSession); 17716; 8] (23292)received keep alive packet, SN: 0
2026-04-17 09:49:00.164; Info; ConnectionHandler(Service); 17716; 5] (23292)received keep alive packet, SN: 0
2026-04-17 09:49:00.359; Info; GameLibraryPlugin; 17716; 11] (23489)[AppService..ctor(19)] Begin
2026-04-17 09:49:00.359; Info; GameLibraryPlugin; 17716; 11] (23489)[AppService..ctor(27)] End
2026-04-17 09:51:24.605; System; Armoury Crate; 6592; 2] ----------------------------------------------------------------------------------------------------
2026-04-17 09:51:24.605; System; Armoury Crate; 6592; 2] [4/17/2026 9:51:24 AM]
2026-04-17 09:51:24.605; System; Armoury Crate; 6592; 2] Armoury Crate Version : 6.4.12.0
2026-04-17 09:51:24.605; System; Armoury Crate; 6592; 2] OS Version Build : 26200
2026-04-17 09:51:24.605; System; Armoury Crate; 6592; 2] ----------------------------------------------------------------------------------------------------
2026-04-17 09:51:24.937; Error; UwpDebugOptions; 6592; 1] (339)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-17 09:51:24.937; Info; UwpAppConfiguration; 6592; 1] (339)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
