2026-04-22 04:40:20.406; System; Armoury Crate; 35296; 2] ----------------------------------------------------------------------------------------------------
2026-04-22 04:40:20.406; System; Armoury Crate; 35296; 2] [4/22/2026 4:40:20 AM]
2026-04-22 04:40:20.406; System; Armoury Crate; 35296; 2] Armoury Crate Version : 6.4.12.0
2026-04-22 04:40:20.406; System; Armoury Crate; 35296; 2] OS Version Build : 26200
2026-04-22 04:40:20.406; System; Armoury Crate; 35296; 2] ----------------------------------------------------------------------------------------------------
2026-04-22 04:40:22.013; Error; UwpDebugOptions; 35296; 1] (1616)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-22 04:40:22.014; Info; UwpAppConfiguration; 35296; 1] (1618)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-22 04:40:22.100; Info; DeviceInformationService; 35296; 1] (1703)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-22 04:40:22.108; Info; CoreServiceManager; 35296; 1] (1711)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 16 ms
2026-04-22 04:40:22.158; Info; ConnectionHandler(Service); 35296; 3] (1762)Final version: 1.1
2026-04-22 04:40:22.246; Info; ConnectionHandler(Service); 35296; 3] (1851)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-22 04:40:22.246; Info; ConnectionHandler(Service); 35296; 3] (1851)connected for peer: Service
2026-04-22 04:40:22.258; Info; AsusDeviceManager; 35296; 6] (1862)MessageType:Device,DeviceType:Notebook,DeviceName:G713QE,DeviceId:, Attributes: (CheckBoxEnable:1)  (DependentAppStatus:0)  (DeviceCount:1)  (DeviceGUID:3F49AD29-52D9-46A5-A608-203D54E7D12A)  (DeviceIndex:0)  (DisplayName:G713QE)  (FirstPluginNeedUpdate:0)  (InfoIconEnable:0)  (LightingMode:SUPPORTAURA)  (LinkToDeviceEnable:0)  (LocalFrameworkVersion:4.2.4.8)  (LocalHtmlVersion:0)  (LocalMainSDKVersion:2.01.52)  (LocalSDKVersion:0)  (NeedRestart:false)  (PIDMode:0)  (PartNumber_90:90NR05F2-M01710)  (ProductLine:ROG_Laptop)  (ServerFrameworkVersion:4.2.4.13)  (ServerHtmlVersion:0)  (ServerMainSDKVersion:2.01.56)  (ServerSDKVersion:0)  (SupportCreator:true) 
2026-04-22 04:40:32.267; Warning; ConnectionHandler(UserSession); 35296; 7] (11871)failed on SendVersion
2026-04-22 04:40:32.267; Warning; ConnectionHandler(UserSession); 35296; 7] (11871)failed to handshake for connection
2026-04-22 04:40:32.269; Info; CoreServiceManager; 35296; 1] (11873)Start ArmouryCrate.Console.Uwp.Core.Services.CoreStreamService spend 10161 ms
2026-04-22 04:40:32.269; Info; CoreServiceManager; 35296; 1] (11873)Start ArmouryCrate.Console.Uwp.Core.Services.SettingsService spend 1 ms
