2026-04-27 09:47:07.822; System; Armoury Crate; 38948; 3] ----------------------------------------------------------------------------------------------------
2026-04-27 09:47:07.822; System; Armoury Crate; 38948; 3] [4/27/2026 9:47:07 AM]
2026-04-27 09:47:07.822; System; Armoury Crate; 38948; 3] Armoury Crate Version : 6.4.12.0
2026-04-27 09:47:07.822; System; Armoury Crate; 38948; 3] OS Version Build : 26200
2026-04-27 09:47:07.822; System; Armoury Crate; 38948; 3] ----------------------------------------------------------------------------------------------------
2026-04-27 09:47:08.226; Error; UwpDebugOptions; 38948; 2] (81009891)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-27 09:47:08.227; Info; UwpAppConfiguration; 38948; 2] (81009892)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-27 09:47:08.298; Warning; ThemeManager; 38948; 2] (81009968)Can not find target theme - 
2026-04-27 09:47:08.312; Info; ROGID; 38948; 2] (81009978)[ROGID.ROGIDService.SSO]SSO Module Init Status : True
2026-04-27 09:47:08.312; Info; DeviceInformationService; 38948; 2] (81009980)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-27 09:47:08.312; Info; CoreServiceManager; 38948; 2] (81009980)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 1 ms
