2026-04-27 03:46:47.011; System; Armoury Crate; 47972; 2] ----------------------------------------------------------------------------------------------------
2026-04-27 03:46:47.011; System; Armoury Crate; 47972; 2] [4/27/2026 3:46:47 AM]
2026-04-27 03:46:47.011; System; Armoury Crate; 47972; 2] Armoury Crate Version : 6.4.12.0
2026-04-27 03:46:47.011; System; Armoury Crate; 47972; 2] OS Version Build : 26200
2026-04-27 03:46:47.011; System; Armoury Crate; 47972; 2] ----------------------------------------------------------------------------------------------------
2026-04-27 03:46:49.090; Error; UwpDebugOptions; 47972; 1] (2084)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-27 03:46:49.090; Info; UwpAppConfiguration; 47972; 1] (2084)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-27 03:46:49.090; Info; DeviceInformationService; 47972; 1] (2085)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-27 03:46:49.092; Info; CoreServiceManager; 47972; 1] (2086)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 1 ms
2026-04-27 03:46:51.360; Info; ConnectionHandler(Service); 47972; 5] (4357)Final version: 1.1
2026-04-27 03:46:51.471; Info; ConnectionHandler(Service); 47972; 5] (4467)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-27 03:46:51.471; Info; ConnectionHandler(Service); 47972; 5] (4468)connected for peer: Service
